height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
6.0,96.0,?,?,?,?,2.3,184.0,?,80.0,1
10.0,13.0,?,?,?,?,?,?,?,17.0,1
8.0,?,552.0,8.625,?,0.6829999999999999,1.54,129.0,377.0,?,1
?,?,?,?,?,0.615,3.0,?,?,?,1
?,?,54.0,?,?,?,?,8.0,?,2.0,0
?,148.0,?,?,0.959,1.0,47.33,142.0,?,3.0,0
10.0,45.0,?,4.5,0.296,0.5579999999999999,?,133.0,?,?,1
10.0,?,120.0,1.2,?,0.867,2.33,42.0,104.0,?,1
10.0,?,?,9.8,0.379,0.835,?,371.0,?,167.0,1
?,162.0,?,20.25,0.327,0.79,?,424.0,?,?,1
?,?,6720.0,11.667,0.456,?,?,?,6134.0,400.0,1
24.0,?,?,6.542000000000001,?,?,?,3411.0,?,186.0,1
?,?,?,23.0,0.826,1.0,19.0,?,?,1.0,0
8.0,175.0,1400.0,?,?,0.882,?,?,1235.0,183.0,1
?,?,?,11.875,0.303,0.937,?,?,712.0,?,1
?,261.0,2871.0,23.727,0.231,0.596,?,?,?,354.0,1
?,34.0,272.0,4.25,?,0.985,?,?,?,63.0,1
9.0,?,?,?,?,?,6.67,80.0,?,12.0,1
?,?,?,3.778,?,?,2.06,109.0,?,53.0,1
7.0,21.0,147.0,3.0,?,0.857,1.35,?,?,31.0,1
?,43.0,387.0,4.7780000000000005,?,?,?,?,?,65.0,1
?,26.0,234.0,?,0.316,0.88,?,?,?,?,1
11.0,48.0,?,4.364,0.237,0.39,7.35,?,?,?,0
11.0,64.0,704.0,?,?,?,?,?,393.0,?,1
?,?,?,?,?,?,2.15,?,157.0,?,1
3.0,113.0,339.0,?,?,0.3779999999999999,30.25,?,128.0,?,0
1.0,22.0,?,?,0.5,1.0,?,?,?,6.0,0
9.0,81.0,729.0,?,0.357,?,2.22,?,?,117.0,1
?,?,?,1.714,0.4639999999999999,1.0,2.17,39.0,?,?,1
?,?,?,?,0.298,?,?,159.0,405.0,99.0,1
8.0,?,?,4.625,0.375,0.922,1.61,111.0,?,69.0,1
?,?,9.0,?,0.889,0.889,8.0,8.0,8.0,?,1
?,11.0,?,0.647,?,0.433,?,61.0,?,?,1
7.0,?,119.0,?,0.3279999999999999,0.731,?,39.0,?,27.0,1
?,?,?,11.64,?,?,7.29,?,?,?,1
9.0,272.0,2448.0,?,0.1369999999999999,0.532,?,?,?,?,1
9.0,?,?,2.222,0.367,?,2.2,66.0,?,30.0,1
?,?,4522.0,15.647,?,1.0,?,4167.0,4522.0,325.0,1
9.0,?,1458.0,?,0.254,0.527,2.69,?,?,?,1
7.0,35.0,245.0,?,?,?,1.32,?,?,50.0,1
7.0,?,42.0,?,?,1.0,?,16.0,42.0,?,1
?,35.0,350.0,3.5,0.091,0.157,?,32.0,?,?,1
10.0,34.0,?,?,?,0.8,?,?,272.0,?,1
7.0,?,112.0,?,0.259,0.768,2.07,29.0,?,?,1
6.0,?,?,2.667,?,?,?,47.0,?,24.0,1
?,17.0,119.0,?,0.4539999999999999,0.866,3.18,54.0,103.0,?,1
10.0,?,100.0,1.0,?,0.69,?,56.0,69.0,2.0,1
11.0,271.0,2981.0,24.636,?,?,1.39,525.0,2001.0,378.0,1
?,82.0,738.0,?,?,?,?,182.0,690.0,?,1
10.0,?,?,?,0.481,?,2.97,226.0,466.0,?,1
?,?,?,0.778,0.349,?,?,?,43.0,?,1
8.0,?,?,?,?,1.0,2.18,?,?,11.0,1
?,24.0,120.0,?,0.342,0.8079999999999999,1.32,41.0,?,31.0,1
11.0,?,1056.0,8.727,?,?,?,350.0,1007.0,81.0,1
17.0,24.0,?,1.412,0.407,0.809,?,?,330.0,34.0,1
7.0,?,77.0,?,?,?,?,?,77.0,13.0,1
8.0,?,?,1.5,0.4379999999999999,?,?,42.0,?,28.0,1
1.0,52.0,52.0,?,0.5379999999999999,1.0,14.0,?,?,?,0
2.0,?,36.0,?,?,0.6940000000000001,?,24.0,25.0,1.0,0
6.0,41.0,246.0,6.832999999999999,?,0.927,?,57.0,228.0,?,1
15.0,?,?,22.8,0.24,?,2.49,?,2810.0,495.0,1
?,?,?,?,?,?,1.52,35.0,?,?,1
9.0,?,?,?,?,?,2.63,518.0,1098.0,?,1
?,?,?,1.52,0.055,0.123,?,?,?,2925.0,0
13.0,33.0,429.0,?,?,0.534,?,105.0,229.0,?,1
10.0,?,?,?,?,?,1.91,?,213.0,58.0,1
?,?,?,?,?,?,3.44,?,864.0,?,1
10.0,?,350.0,3.5,?,?,1.88,109.0,?,?,1
7.0,?,?,?,0.286,?,?,?,79.0,19.0,1
?,?,472.0,?,0.322,0.8809999999999999,2.41,?,?,63.0,1
?,?,?,3.818,0.292,0.76,1.93,135.0,?,?,1
8.0,?,360.0,?,?,0.722,9.32,?,260.0,19.0,1
?,?,?,6.0,0.638,0.918,6.12,551.0,?,90.0,1
?,?,774.0,9.556,?,?,?,?,?,126.0,1
7.0,?,?,0.857,0.3329999999999999,0.762,4.67,?,?,3.0,1
7.0,?,?,?,?,0.889,?,29.0,?,?,1
4.0,?,?,?,0.25,?,?,12.0,38.0,?,1
?,13.0,65.0,?,?,?,?,?,?,15.0,1
?,31.0,217.0,?,0.267,?,2.15,58.0,?,27.0,1
7.0,74.0,518.0,?,0.276,?,?,?,?,?,1
11.0,?,1078.0,?,?,0.778,?,428.0,839.0,164.0,1
7.0,?,?,2.714,?,?,?,?,54.0,?,1
11.0,?,2871.0,?,0.243,0.524,?,?,1505.0,361.0,1
9.0,264.0,?,?,?,?,?,619.0,1455.0,311.0,1
8.0,?,?,?,?,?,1.66,106.0,211.0,?,1
10.0,49.0,490.0,?,?,0.939,?,?,460.0,86.0,1
9.0,21.0,189.0,2.333,0.365,0.905,?,69.0,?,?,1
1.0,?,279.0,?,?,1.0,?,269.0,279.0,?,0
9.0,?,?,?,?,0.964,?,182.0,347.0,59.0,1
9.0,82.0,?,9.111,?,0.8390000000000001,2.8,269.0,619.0,?,1
7.0,20.0,140.0,?,0.4639999999999999,?,?,?,140.0,?,1
7.0,?,?,?,?,0.5710000000000001,1.5,21.0,?,14.0,1
8.0,?,560.0,8.75,0.298,?,1.76,167.0,512.0,?,1
1.0,?,40.0,40.0,?,?,?,?,?,6.0,1
?,?,?,54.667,0.209,0.7809999999999999,?,?,3457.0,697.0,1
9.0,75.0,675.0,?,?,0.936,2.09,249.0,?,119.0,1
9.0,?,?,?,0.225,?,1.38,1035.0,3670.0,?,1
10.0,262.0,2620.0,26.2,0.185,?,1.31,484.0,?,?,1
10.0,49.0,490.0,?,?,?,?,?,318.0,60.0,1
7.0,?,161.0,?,0.298,?,?,?,141.0,?,1
12.0,?,?,0.083,?,1.0,12.0,?,?,1.0,0
?,54.0,432.0,?,?,0.951,?,232.0,?,69.0,1
8.0,3.0,24.0,0.375,0.5,0.667,?,?,?,?,1
?,?,?,24.727,0.283,0.703,1.97,?,2103.0,?,1
9.0,?,?,?,0.3779999999999999,?,?,51.0,?,21.0,1
8.0,42.0,336.0,5.25,0.423,?,2.37,?,?,?,1
9.0,55.0,495.0,?,?,?,1.92,148.0,495.0,77.0,1
?,?,?,?,0.247,0.883,?,38.0,136.0,32.0,1
8.0,32.0,?,?,?,?,?,103.0,?,3.0,1
1.0,?,19.0,19.0,0.789,1.0,3.75,?,19.0,4.0,0
?,?,85.0,3.4,0.471,0.929,2.35,?,79.0,17.0,1
?,?,?,?,?,0.58,2.7,27.0,?,10.0,1
7.0,42.0,294.0,6.0,0.262,?,1.79,77.0,217.0,?,1
?,?,396.0,4.888999999999999,0.465,?,3.35,184.0,374.0,55.0,1
?,66.0,594.0,?,?,0.805,?,?,478.0,?,1
12.0,?,804.0,5.582999999999999,?,?,?,302.0,?,?,1
?,?,?,1.833,?,?,1.53,23.0,?,?,1
11.0,?,?,?,0.283,?,?,?,254.0,?,1
6.0,27.0,?,4.5,?,0.809,?,?,131.0,33.0,1
7.0,30.0,210.0,4.2860000000000005,0.295,?,1.77,?,?,35.0,1
10.0,32.0,320.0,3.2,0.306,?,1.69,?,252.0,58.0,1
7.0,14.0,98.0,2.0,0.408,0.939,2.5,40.0,?,?,1
9.0,?,?,?,0.272,0.753,1.38,22.0,?,?,1
7.0,?,?,2.571,0.302,?,?,?,?,?,1
?,?,480.0,?,?,0.738,2.13,164.0,?,77.0,1
?,161.0,?,17.889,?,?,?,?,?,?,1
?,471.0,81954.0,?,0.3389999999999999,0.433,?,27820.0,?,1756.0,0
?,150.0,?,?,0.205,?,?,?,753.0,187.0,1
?,9.0,?,1.125,?,0.319,4.5,?,?,2.0,0
?,?,805.0,16.429000000000002,0.273,0.7040000000000001,?,?,?,?,1
?,?,?,?,0.375,?,?,?,?,45.0,1
7.0,38.0,266.0,5.428999999999999,0.41,0.91,?,109.0,242.0,60.0,1
7.0,14.0,98.0,2.0,?,?,?,31.0,76.0,?,1
8.0,?,160.0,?,0.413,?,?,66.0,?,32.0,1
8.0,?,?,19.625,?,0.987,?,560.0,1240.0,220.0,1
9.0,?,738.0,9.111,?,0.6409999999999999,2.62,283.0,473.0,?,1
?,?,?,5.222,0.4039999999999999,0.943,1.99,171.0,?,86.0,1
?,26.0,?,?,0.2689999999999999,0.929,1.23,49.0,?,40.0,1
?,?,?,4.0,?,?,1.58,?,?,?,1
?,?,?,1.6,0.288,?,2.19,46.0,119.0,21.0,1
?,?,?,3.6,?,?,2.45,?,?,?,1
6.0,90.0,?,?,?,0.804,?,?,?,?,1
?,?,?,?,0.3829999999999999,?,?,?,?,12.0,1
?,367.0,?,?,?,0.77,?,891.0,?,544.0,1
9.0,?,2232.0,27.556,?,0.727,2.39,?,1622.0,308.0,1
7.0,14.0,?,2.0,0.3879999999999999,?,?,?,83.0,23.0,1
4.0,?,260.0,16.25,0.296,?,?,77.0,164.0,29.0,1
7.0,?,?,?,0.294,0.924,1.46,136.0,427.0,93.0,1
9.0,295.0,?,?,0.2,0.5589999999999999,?,?,?,?,1
?,12.0,96.0,1.5,0.4579999999999999,?,?,44.0,?,?,1
8.0,17.0,?,2.125,0.419,?,2.11,?,130.0,27.0,1
?,?,?,3.875,?,?,?,?,?,46.0,1
1.0,?,?,126.0,?,?,?,?,126.0,1.0,0
9.0,151.0,1359.0,16.778,0.257,0.941,?,?,?,236.0,1
9.0,12.0,?,?,0.407,0.88,1.69,?,?,?,1
?,?,?,?,?,0.431,1.78,?,?,120.0,0
7.0,10.0,70.0,1.429,?,0.8859999999999999,1.82,?,?,11.0,1
6.0,?,?,?,?,0.417,?,7.0,?,?,0
?,?,3192.0,22.167,?,?,?,?,2130.0,?,1
?,268.0,2412.0,29.778,?,0.534,?,?,1288.0,258.0,1
8.0,302.0,2416.0,37.75,?,?,1.43,?,1763.0,356.0,1
5.0,?,?,?,0.4,?,1.61,?,?,36.0,1
6.0,95.0,?,?,0.256,?,1.78,?,438.0,82.0,1
8.0,?,112.0,?,?,?,?,?,76.0,18.0,1
7.0,?,?,6.571000000000001,0.354,1.0,?,?,?,?,1
9.0,?,1377.0,?,0.304,?,2.06,?,?,?,1
?,?,?,11.6,?,?,?,285.0,?,?,1
11.0,272.0,2992.0,?,?,0.68,2.0,840.0,?,420.0,1
8.0,?,?,?,?,?,1.31,?,?,?,1
?,?,297.0,3.667,?,?,?,106.0,?,43.0,1
9.0,?,?,?,?,0.835,2.0,104.0,263.0,?,1
?,?,?,?,?,?,?,8.0,?,4.0,1
9.0,47.0,423.0,5.222,?,?,?,?,327.0,?,1
?,19.0,171.0,?,?,0.895,?,?,153.0,15.0,1
?,?,?,?,0.594,?,21.27,638.0,703.0,30.0,0
?,?,?,?,0.405,0.929,?,17.0,39.0,9.0,1
?,?,?,6.4,0.514,0.966,2.84,329.0,618.0,?,1
?,?,405.0,5.0,?,?,3.23,?,363.0,?,1
?,?,460.0,4.6,?,?,?,167.0,388.0,?,1
8.0,25.0,200.0,?,?,0.815,?,?,?,39.0,1
5.0,13.0,65.0,2.6,?,?,4.29,30.0,44.0,7.0,1
?,39.0,?,4.333,?,0.695,1.49,91.0,244.0,?,1
23.0,371.0,?,?,?,1.0,?,8027.0,?,477.0,1
12.0,?,480.0,3.333,0.46,?,?,?,?,?,1
5.0,96.0,480.0,?,0.3289999999999999,?,?,158.0,344.0,?,1
10.0,6.0,?,?,0.433,?,2.6,?,60.0,10.0,1
5.0,?,?,?,?,?,7.0,?,?,2.0,1
11.0,?,165.0,?,?,0.752,?,?,?,27.0,1
?,18.0,162.0,?,0.327,?,?,?,148.0,28.0,1
10.0,?,5060.0,?,?,?,?,758.0,2980.0,564.0,1
7.0,8.0,56.0,1.143,0.268,?,1.15,15.0,?,13.0,1
?,524.0,2096.0,?,0.542,?,?,1136.0,?,28.0,0
9.0,217.0,1953.0,?,0.168,?,?,?,?,?,1
5.0,99.0,495.0,19.8,?,?,1.92,150.0,?,?,1
7.0,?,?,9.0,0.3379999999999999,?,?,149.0,?,77.0,1
9.0,?,?,1.3330000000000002,?,?,?,44.0,108.0,?,1
?,33.0,231.0,4.714,0.385,?,2.23,?,?,40.0,1
?,116.0,1392.0,?,?,?,1.99,?,?,?,1
?,?,?,?,0.4,0.924,1.5,42.0,?,?,1
12.0,84.0,1008.0,7.0,?,?,4.75,423.0,?,?,1
?,?,114.0,?,?,?,1.8,?,?,?,1
15.0,300.0,?,20.0,?,0.5760000000000001,?,1136.0,?,?,1
10.0,?,820.0,8.2,?,?,2.05,?,?,120.0,1
1.0,?,19.0,?,0.684,1.0,?,13.0,19.0,3.0,0
8.0,10.0,80.0,?,0.35,0.763,?,?,61.0,16.0,1
?,23.0,?,?,0.246,?,1.82,51.0,?,28.0,1
3.0,54.0,?,18.0,0.364,0.519,8.43,?,?,?,0
?,17.0,170.0,?,?,?,?,91.0,145.0,12.0,1
?,6.0,?,0.75,0.375,?,?,18.0,?,10.0,1
?,?,1280.0,12.8,0.355,0.7509999999999999,2.25,?,?,202.0,1
12.0,41.0,492.0,3.417,0.289,?,2.06,?,364.0,?,1
7.0,?,?,?,0.341,0.721,1.58,?,?,62.0,1
?,?,?,1.0,0.406,0.953,2.17,26.0,61.0,?,1
?,63.0,?,?,?,0.7240000000000001,2.77,230.0,502.0,83.0,1
?,?,56.0,0.875,0.429,1.0,2.67,24.0,?,9.0,1
?,21.0,?,3.0,0.327,0.728,?,48.0,?,?,1
?,?,945.0,?,0.114,?,?,108.0,?,?,1
?,147.0,?,13.364,0.32,?,2.2,?,?,235.0,1
9.0,172.0,1548.0,?,0.171,0.731,1.31,?,1131.0,202.0,1
11.0,?,?,24.727,0.168,0.595,?,504.0,?,?,1
8.0,?,56.0,?,?,0.7859999999999999,?,28.0,44.0,?,1
?,?,?,1.875,0.283,?,?,34.0,?,?,1
7.0,15.0,105.0,?,?,1.0,1.57,?,?,?,1
?,?,?,3.182,0.382,?,?,147.0,253.0,24.0,1
6.0,18.0,108.0,3.0,?,0.787,1.32,?,?,25.0,1
7.0,?,1512.0,?,?,?,?,693.0,?,223.0,1
5.0,42.0,210.0,?,0.257,?,1.46,54.0,?,?,1
12.0,?,?,7.082999999999999,?,0.828,1.94,311.0,845.0,?,1
6.0,68.0,?,11.333,?,0.672,?,105.0,?,91.0,1
?,107.0,963.0,?,0.375,0.861,1.94,?,829.0,186.0,1
?,?,648.0,?,0.255,0.494,2.01,?,?,?,1
?,42.0,?,4.667,0.429,?,?,?,369.0,59.0,1
?,252.0,3024.0,?,?,?,4.75,1259.0,?,265.0,1
3.0,3.0,?,1.0,0.778,?,7.0,7.0,7.0,?,1
8.0,122.0,?,?,?,?,?,?,?,?,1
?,16.0,48.0,?,?,?,2.25,18.0,45.0,?,1
9.0,?,?,1.3330000000000002,0.38,1.0,?,41.0,?,?,1
9.0,?,?,?,?,?,?,799.0,2841.0,?,1
?,13.0,91.0,1.857,0.396,1.0,?,36.0,91.0,?,1
16.0,?,?,13.25,?,0.693,?,?,?,222.0,1
?,?,?,?,?,?,1.95,?,?,?,1
7.0,18.0,126.0,2.571,?,?,1.31,?,104.0,26.0,1
?,?,155.0,6.2,0.355,?,?,?,?,?,1
?,?,?,?,0.545,?,24.29,?,673.0,24.0,0
?,?,?,16.5,0.311,0.873,2.01,?,?,?,1
?,?,?,0.933,0.11,0.3379999999999999,?,23.0,?,12.0,0
6.0,?,168.0,?,0.292,0.875,1.29,49.0,147.0,?,1
?,272.0,?,?,?,0.75,2.74,?,2448.0,?,1
9.0,?,?,?,?,0.748,?,443.0,?,307.0,1
9.0,?,720.0,8.889,0.293,0.868,1.85,211.0,?,?,1
?,98.0,1372.0,7.0,?,?,?,422.0,?,174.0,1
12.0,?,?,?,0.245,0.624,?,?,734.0,129.0,1
7.0,?,?,?,?,?,2.22,20.0,50.0,9.0,1
?,?,880.0,?,?,?,1.66,202.0,?,?,1
?,181.0,?,?,0.35,0.773,2.64,570.0,1260.0,?,1
?,?,2529.0,?,0.272,?,?,687.0,?,398.0,1
7.0,91.0,637.0,?,?,?,1.46,?,341.0,?,1
?,?,?,53.5,0.113,0.4579999999999999,1.36,?,2448.0,?,1
?,357.0,?,?,0.324,0.644,?,?,12422.0,1003.0,0
?,42.0,?,?,0.271,0.813,1.54,?,273.0,?,1
1.0,?,?,?,?,?,24.67,74.0,78.0,?,0
8.0,?,104.0,1.625,0.6629999999999999,0.8170000000000001,?,69.0,85.0,?,1
5.0,?,85.0,3.4,0.5760000000000001,0.953,2.33,49.0,?,21.0,1
8.0,?,?,?,0.3389999999999999,?,1.36,19.0,?,14.0,1
?,98.0,?,9.8,?,?,?,?,863.0,?,1
?,?,2448.0,?,0.2769999999999999,0.67,1.86,679.0,?,365.0,1
?,23.0,184.0,?,?,?,?,51.0,153.0,30.0,1
9.0,?,792.0,?,0.263,0.726,?,208.0,575.0,?,1
?,?,?,0.787,0.574,?,21.52,?,?,?,0
?,320.0,3840.0,?,0.231,0.514,2.06,?,1975.0,?,1
?,416.0,5824.0,?,0.384,?,?,2234.0,3594.0,481.0,1
9.0,?,144.0,1.778,0.215,0.764,1.55,31.0,?,?,1
?,7.0,49.0,1.0,?,?,?,?,?,7.0,1
?,9.0,?,0.9,?,0.856,?,31.0,77.0,18.0,1
?,335.0,?,27.917,0.4,?,4.61,1606.0,2722.0,?,1
13.0,13.0,?,?,0.124,?,3.5,?,76.0,?,0
38.0,?,?,10.789,?,0.604,2.4,?,?,1651.0,1
7.0,?,2723.0,55.571000000000005,0.1669999999999999,?,1.19,?,1591.0,?,1
10.0,?,?,6.3,0.294,?,2.2,?,?,84.0,1
?,?,?,8.0,0.25,?,2.67,?,?,3.0,0
9.0,?,828.0,?,0.35,?,2.07,?,?,140.0,1
9.0,14.0,126.0,1.556,0.706,0.865,?,89.0,?,?,1
1.0,19.0,?,19.0,?,?,4.67,?,?,3.0,0
?,?,140.0,?,0.314,0.9,?,44.0,126.0,23.0,1
?,?,?,4.428999999999999,0.461,?,?,100.0,215.0,?,1
?,32.0,?,3.2,0.3379999999999999,?,?,108.0,?,?,1
?,31.0,899.0,?,0.4629999999999999,0.726,?,?,?,60.0,0
10.0,29.0,290.0,2.9,?,?,?,?,248.0,48.0,1
5.0,?,95.0,?,?,?,5.5,?,?,?,1
7.0,17.0,?,?,?,?,1.65,?,93.0,?,1
11.0,?,?,18.818,0.268,?,?,610.0,1647.0,?,1
?,?,1020.0,?,?,0.371,?,142.0,?,?,0
311.0,463.0,?,1.489,?,0.16,?,?,23092.0,3212.0,0
?,?,104.0,?,?,?,1.96,?,101.0,24.0,1
3.0,?,1608.0,?,?,?,61.0,?,567.0,?,0
8.0,?,?,?,?,?,2.29,304.0,?,133.0,1
?,?,168.0,?,0.357,?,2.07,60.0,?,?,1
9.0,?,81.0,?,0.63,?,?,51.0,65.0,10.0,1
11.0,?,1078.0,8.908999999999999,0.276,0.602,?,297.0,?,?,1
?,?,63.0,1.286,?,?,1.2,18.0,61.0,15.0,1
?,14.0,98.0,?,?,?,?,?,?,19.0,1
?,11.0,66.0,?,0.364,0.955,1.33,?,?,?,1
16.0,?,?,?,?,?,?,1157.0,?,?,1
10.0,34.0,?,?,0.426,?,3.02,145.0,223.0,48.0,1
?,25.0,?,2.5,?,?,?,?,147.0,35.0,1
?,18.0,?,?,0.3829999999999999,?,2.3,69.0,180.0,30.0,1
?,?,?,?,?,0.579,1.91,223.0,?,117.0,1
?,73.0,584.0,?,0.433,0.875,2.75,253.0,511.0,?,1
1.0,42.0,42.0,42.0,0.31,1.0,?,?,?,5.0,0
5.0,?,175.0,7.0,0.2,0.8290000000000001,?,35.0,145.0,8.0,1
7.0,34.0,?,?,0.273,0.7609999999999999,1.48,?,181.0,44.0,1
8.0,?,?,0.875,?,?,2.36,?,56.0,11.0,1
7.0,26.0,182.0,?,0.374,?,1.66,?,?,41.0,1
?,?,?,29.0,1.0,1.0,29.0,?,29.0,?,0
7.0,12.0,?,?,0.476,?,2.86,40.0,?,?,1
7.0,?,399.0,8.142999999999999,?,?,2.7,165.0,318.0,?,1
?,29.0,174.0,4.833,0.368,?,1.73,?,166.0,37.0,1
10.0,38.0,380.0,?,0.434,0.892,2.89,?,?,57.0,1
5.0,7.0,35.0,?,0.457,1.0,?,16.0,?,?,1
?,?,120.0,1.875,0.267,0.767,2.29,32.0,?,14.0,1
7.0,8.0,56.0,1.143,0.357,?,?,?,45.0,10.0,1
?,?,6851.0,23.706,?,0.521,5.43,?,3568.0,?,1
?,?,?,?,0.231,?,?,?,?,?,1
?,17.0,?,2.125,0.228,0.882,1.24,?,120.0,25.0,1
13.0,354.0,4602.0,?,0.38,?,?,?,2750.0,398.0,1
8.0,272.0,2176.0,34.0,0.186,0.539,1.35,404.0,1172.0,299.0,1
8.0,?,280.0,?,0.382,1.0,2.02,?,280.0,?,1
9.0,?,540.0,?,0.413,0.8220000000000001,?,?,?,81.0,1
14.0,19.0,?,?,?,0.541,?,34.0,144.0,?,0
2.0,?,?,?,0.519,?,34.88,?,?,16.0,0
?,?,?,?,?,?,1.92,?,210.0,?,1
24.0,107.0,2568.0,4.458,?,0.982,16.91,2333.0,2523.0,138.0,1
?,?,104.0,1.625,?,?,?,41.0,95.0,18.0,1
?,?,?,10.7,0.273,0.738,1.81,292.0,?,?,1
6.0,?,?,6.332999999999999,?,?,?,86.0,190.0,?,1
?,?,108.0,1.3330000000000002,?,0.852,?,?,?,18.0,1
8.0,?,?,1.625,?,0.923,?,44.0,96.0,25.0,1
3.0,?,1611.0,?,0.353,0.364,71.13,?,?,?,0
?,?,?,7.2,?,?,1.52,38.0,142.0,25.0,1
8.0,71.0,?,?,0.31,0.861,1.85,176.0,489.0,?,1
7.0,?,42.0,0.857,?,0.857,1.71,?,36.0,7.0,1
9.0,233.0,2097.0,25.889,?,?,1.26,?,?,?,1
?,?,22.0,22.0,?,?,?,13.0,?,?,1
?,214.0,?,30.571,?,0.899,2.77,?,?,?,1
9.0,37.0,333.0,4.111000000000001,0.3329999999999999,?,?,?,?,?,1
?,?,230.0,?,0.287,?,?,?,?,30.0,1
7.0,61.0,427.0,?,0.321,0.667,?,137.0,?,?,1
?,151.0,1057.0,?,?,0.434,1.33,?,?,61.0,1
?,79.0,790.0,?,0.347,?,?,274.0,?,122.0,1
?,?,?,9.111,0.3429999999999999,0.913,?,253.0,674.0,125.0,1
9.0,?,2520.0,?,0.165,0.684,?,?,1724.0,?,1
8.0,6.0,48.0,?,?,0.979,1.78,16.0,47.0,?,1
?,?,2001.0,3.783,?,0.6709999999999999,?,?,1342.0,?,1
8.0,25.0,200.0,?,?,0.73,?,74.0,146.0,?,1
24.0,334.0,8016.0,13.917,?,0.966,14.3,7164.0,7740.0,501.0,1
9.0,?,?,5.444,?,0.998,2.97,261.0,?,?,1
?,?,?,4.25,0.357,0.75,1.87,97.0,?,52.0,1
?,15.0,15.0,?,?,1.0,?,?,?,?,0
22.0,208.0,4576.0,9.455,?,?,1.59,928.0,?,585.0,1
?,?,?,24.9,0.462,?,3.53,?,2097.0,?,1
?,126.0,1260.0,?,0.41,0.833,?,516.0,?,?,1
9.0,?,315.0,?,?,?,2.86,?,210.0,29.0,1
?,?,?,?,0.361,0.614,?,?,?,48.0,1
8.0,42.0,336.0,5.25,?,?,?,124.0,336.0,?,1
8.0,21.0,?,2.625,0.3389999999999999,?,1.97,?,?,?,1
?,?,44.0,44.0,?,?,?,?,44.0,?,0
?,?,84.0,?,0.56,0.929,?,?,?,21.0,1
?,?,537.0,?,1.0,1.0,?,537.0,537.0,1.0,0
?,9.0,225.0,?,0.187,?,2.47,?,?,?,0
?,92.0,?,?,?,0.6940000000000001,1.93,238.0,575.0,?,1
8.0,16.0,128.0,2.0,?,1.0,?,55.0,?,?,1
?,?,?,?,?,0.778,1.73,?,?,?,1
10.0,22.0,220.0,2.2,0.2769999999999999,?,1.74,?,?,?,1
10.0,66.0,660.0,?,?,0.638,1.87,?,421.0,95.0,1
8.0,31.0,?,3.875,0.327,?,1.84,81.0,196.0,?,1
8.0,32.0,256.0,?,?,0.8009999999999999,?,96.0,205.0,?,1
?,?,?,1.9,?,?,?,103.0,146.0,?,1
?,?,?,?,?,?,?,243.0,?,187.0,1
?,537.0,1074.0,268.5,0.5379999999999999,0.555,?,578.0,596.0,7.0,0
?,13.0,?,?,?,0.933,?,?,97.0,?,1
?,284.0,?,?,0.1369999999999999,0.456,?,350.0,?,249.0,1
7.0,17.0,?,?,0.353,?,?,?,?,27.0,1
?,151.0,?,15.1,0.381,0.785,?,575.0,1186.0,165.0,1
?,?,?,28.143,?,?,1.5,?,450.0,66.0,1
?,31.0,217.0,4.428999999999999,?,0.8390000000000001,1.35,69.0,?,51.0,1
7.0,?,1344.0,?,0.136,0.385,1.36,183.0,?,135.0,1
?,13.0,?,1.857,0.264,0.879,?,?,80.0,13.0,1
4.0,?,?,?,0.5,?,?,20.0,36.0,?,1
8.0,5.0,?,?,?,?,2.67,?,40.0,6.0,1
9.0,?,?,?,0.363,0.863,?,?,264.0,?,1
7.0,?,70.0,1.429,?,?,?,?,70.0,?,1
5.0,?,?,?,0.36,?,?,?,?,57.0,1
23.0,1.0,?,0.043,?,?,?,?,?,1.0,0
8.0,?,96.0,?,?,0.8959999999999999,?,43.0,?,21.0,1
7.0,72.0,504.0,10.286,0.405,?,?,?,?,?,1
7.0,?,56.0,1.143,?,?,1.62,?,56.0,13.0,1
?,?,?,17.570999999999998,?,0.962,?,361.0,828.0,?,1
9.0,23.0,?,2.556,?,?,?,63.0,?,39.0,1
11.0,9.0,?,?,?,0.818,?,?,81.0,6.0,1
?,60.0,?,8.571,0.286,?,?,120.0,372.0,80.0,1
7.0,?,?,?,?,0.967,?,?,535.0,88.0,1
8.0,78.0,624.0,?,?,0.745,1.35,152.0,465.0,?,1
6.0,?,192.0,5.332999999999999,0.286,?,1.41,55.0,171.0,39.0,1
6.0,94.0,564.0,?,0.326,0.862,2.02,184.0,486.0,91.0,1
5.0,11.0,?,2.2,0.4,0.927,1.57,22.0,51.0,14.0,1
83.0,326.0,?,3.928,0.286,0.6709999999999999,7.55,?,?,?,0
?,?,?,0.111,?,?,9.0,?,9.0,1.0,0
?,?,340.0,3.4,?,?,?,103.0,272.0,?,1
?,?,?,?,0.12,0.603,1.19,301.0,?,253.0,1
?,12.0,60.0,2.4,?,0.9,3.0,36.0,?,?,1
7.0,14.0,?,2.0,?,?,1.45,?,?,?,1
?,?,4806.0,59.333,?,?,?,?,?,585.0,1
7.0,?,91.0,1.857,?,?,1.79,34.0,89.0,19.0,1
8.0,?,?,6.625,?,0.901,1.76,157.0,382.0,89.0,1
?,?,?,?,0.267,0.7240000000000001,?,267.0,724.0,?,1
?,18.0,?,?,0.583,0.894,?,105.0,161.0,14.0,1
