ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,binaryClass
1.0,7.7,?,710.0,366.0,55.7,6.5,2400,7.8,?,256,62.5,6.0,2450,7.8,192.0,450.0,120.0,66.7,0.5,2330,7.6,?,295.0,88.0,76.1,0.25,2390.0,?,53.1,92.5,?,34.4,?,58.5,76.0,1
1.0,7.9,275.0,330.0,180.0,55.6,3.0,1376,7.9,190.0,200,60.0,2.5,1392,7.9,118.0,260.0,76.0,76.3,0.3,1435,7.7,25.0,109.0,24.0,75.0,0.0,1399.0,37.9,62.0,90.0,78.8,58.1,90.9,67.0,86.7,0
0.82,7.8,290.0,448.0,218.0,66.9,5.5,1842,8.0,254.0,200,62.0,5.0,1829,7.9,137.0,312.0,90.0,75.5,0.3,1856,7.8,19.0,92.0,22.0,79.5,0.05,1843.0,46.1,55.0,94.0,86.1,70.5,93.4,79.5,89.9,0
4.2,7.8,133.0,105.0,208.0,54.8,3.5,1293,7.8,138.0,236,52.5,4.5,1347,7.8,91.0,125.0,58.0,82.8,0.1,1323,7.7,16.0,20.0,16.0,93.7,0.01,1318.0,34.1,75.4,97.8,82.4,84.0,88.0,81.0,92.3,0
1.0,7.7,148.0,345.0,162.0,77.8,3.2,1432,7.6,145.0,166,73.5,3.8,1415,7.6,137.0,302.0,94.0,85.1,0.5,1461,7.4,17.0,60.0,21.0,90.5,0.05,1572.0,5.5,43.4,86.8,87.6,80.1,88.5,82.6,87.0,1
2.5,7.4,224.0,421.0,204.0,68.6,5.0,1328,7.7,293.0,248,64.5,6.5,1341,7.7,119.0,282.0,94.0,72.3,0.2,1331,7.7,18.0,98.0,20.0,80.0,0.1,1265.0,59.4,62.1,96.9,84.9,65.2,92.0,76.7,90.2,1
0.6,7.5,94.0,189.0,120.0,56.7,1.5,1200,7.5,122.0,144,51.4,1.3,1206,7.6,71.0,203.0,54.0,66.7,0.2,1260,7.5,13.0,33.0,10.0,68.0,0.0,1353.0,41.8,62.5,84.0,81.7,83.7,86.2,82.5,91.7,0
0.5,7.3,146.0,288.0,124.0,67.7,2.0,1210,7.4,145.0,109,68.8,1.3,1164,7.4,81.0,200.0,52.0,67.3,0.1,1202,7.5,20.0,?,29.0,82.9,0.02,1259.0,?,52.3,92.3,75.3,?,86.3,?,76.6,1
1.5,7.7,198.0,546.0,308.0,62.3,13.0,1869,7.8,239.0,420,53.3,19.0,1893,7.9,81.0,222.0,76.0,84.2,0.4,1804,7.7,17.0,79.0,27.0,77.8,0.05,1792.0,66.1,81.9,97.9,79.0,64.4,91.4,85.5,91.2,0
1.0,7.6,179.0,389.0,168.0,69.0,3.5,1240,7.8,202.0,272,72.1,6.0,1381,7.8,148.0,302.0,92.0,78.3,0.3,1425,7.9,16.0,83.0,20.0,85.0,0.0,1416.0,26.7,66.2,95.0,89.2,72.5,91.1,78.7,88.1,0
1.5,8.1,129.0,318.0,140.0,67.1,3.0,1319,8.0,124.0,136,69.1,2.0,1320,7.6,101.0,277.0,70.0,85.7,0.1,1270,7.5,15.0,86.0,22.0,86.4,0.01,1289.0,18.5,48.5,95.0,85.1,69.0,88.4,73.0,84.3,0
3.9,7.8,196.0,403.0,200.0,66.0,5.0,1592,7.8,301.0,236,69.5,4.5,1478,7.7,130.0,288.0,74.0,83.8,0.2,1469,7.6,12.0,54.0,14.0,85.7,0.01,1483.0,56.8,68.6,95.6,90.8,81.3,93.9,86.6,93.0,0
3.5,7.6,131.0,436.0,476.0,27.7,4.5,1603,7.8,151.0,416,28.8,5.0,1479,7.8,114.0,269.0,78.0,56.4,0.1,1591,7.9,13.0,90.0,16.0,68.8,0.0,1625.0,24.5,81.3,98.0,88.6,66.5,90.1,79.4,96.6,0
0.12,7.7,213.0,627.0,2008.0,17.9,?,1257,7.6,308.0,1692,17.7,?,1335,7.5,97.0,226.0,66.0,69.7,?,1255,7.6,16.0,119.0,13.0,76.9,?,1289.0,68.5,96.1,?,83.5,47.3,92.5,81.0,99.4,0
1.98,7.9,270.0,321.0,168.0,66.7,4.0,1026,7.9,226.0,200,63.0,3.5,971,7.8,100.0,226.0,82.0,80.5,0.3,1009,7.7,14.0,51.0,16.0,82.5,0.0,1086.0,55.8,59.0,91.4,86.0,77.4,94.8,84.1,90.5,0
2.2,7.9,206.0,305.0,188.0,56.4,4.0,1200,7.9,?,272,50.0,6.0,1228,7.9,113.0,210.0,88.0,65.9,0.2,1237,7.9,14.0,55.0,10.0,92.0,0.0,1084.0,?,67.6,97.5,87.6,73.8,93.2,82.0,94.7,0
2.22,7.7,227.0,416.0,218.0,62.4,5.4,1335,7.7,257.0,416,50.0,8.0,1350,7.7,156.0,311.0,134.0,59.7,0.5,1368,7.7,25.0,86.0,16.0,75.0,0.01,1379.0,39.3,67.8,93.8,84.0,72.3,89.0,79.3,92.7,0
1.2,7.9,319.0,532.0,250.0,71.2,6.5,1379,8.0,331.0,254,69.3,6.0,1453,8.0,150.0,299.0,92.0,73.9,0.4,1431,7.7,15.0,60.0,14.0,85.7,0.02,1508.0,54.7,63.8,93.3,90.0,79.9,95.3,88.7,94.4,0
0.8,7.7,185.0,372.0,164.0,61.0,3.0,1623,7.8,210.0,192,64.6,3.0,1508,7.8,124.0,278.0,74.0,72.9,0.1,1482,7.9,18.0,78.0,15.0,66.7,0.0,1491.0,41.0,61.5,96.7,85.5,71.9,90.3,79.0,90.9,0
1.2,8.0,272.0,665.0,188.0,73.4,6.0,2200,8.1,293.0,192,74.0,5.0,2200,8.0,164.0,304.0,96.0,87.5,0.6,2130,7.7,20.0,76.0,15.0,80.0,0.03,2150.0,44.0,50.0,88.0,87.8,75.0,92.6,88.6,92.0,0
0.5,7.8,135.0,366.0,240.0,49.2,4.5,1344,7.7,149.0,354,45.8,7.0,1274,7.7,112.0,220.0,110.0,60.0,0.2,1182,7.8,29.0,84.0,23.0,81.7,0.02,1144.0,24.8,68.9,97.1,74.1,61.8,78.5,77.0,90.4,0
1.0,8.2,?,384.0,180.0,64.4,3.5,1567,8.2,?,224,55.4,2.5,1512,8.1,?,270.0,110.0,63.6,0.3,1570,7.8,?,122.0,22.0,68.2,0.01,1463.0,?,50.9,88.0,?,54.8,?,68.2,87.8,0
1.5,7.8,177.0,512.0,214.0,58.9,5.5,1605,7.7,164.0,256,71.9,5.5,1599,7.7,118.0,320.0,70.0,88.6,0.4,1401,7.6,25.0,203.0,20.0,85.0,0.0,1110.0,28.0,72.7,92.7,78.8,36.6,85.9,60.4,90.7,0
0.7,7.9,183.0,380.0,192.0,62.5,4.5,1339,7.8,196.0,216,55.6,6.0,1403,7.8,128.0,270.0,68.0,70.6,0.1,1409,8.0,13.0,63.0,15.0,66.7,0.0,1344.0,34.7,68.5,98.3,89.8,76.7,92.9,83.4,92.2,0
2.5,7.8,217.0,591.0,264.0,66.7,7.5,1234,7.7,227.0,500,52.8,8.5,1219,7.8,135.0,338.0,132.0,66.7,0.3,1294,7.7,17.0,84.0,27.0,77.8,0.02,1247.0,40.5,73.6,97.1,87.4,75.1,92.2,85.8,89.8,0
1.2,7.9,191.0,?,184.0,73.9,6.5,1384,7.8,192.0,164,67.1,5.0,1461,7.8,114.0,?,66.0,97.0,0.4,1480,7.8,12.0,?,15.0,93.3,0.1,1463.0,40.6,59.8,92.0,89.5,?,93.7,?,91.8,1
1.0,7.5,237.0,388.0,178.0,57.3,4.0,1620,7.6,300.0,240,53.3,4.5,1571,7.7,113.0,243.0,84.0,69.0,0.2,1631,7.8,12.0,76.0,12.0,86.7,0.02,1590.0,62.3,65.0,95.6,89.4,68.7,94.9,80.4,93.3,0
?,7.7,195.0,380.0,216.0,66.7,4.5,1542,7.8,170.0,240,66.7,3.5,1311,7.8,119.0,238.0,82.0,80.5,0.2,1443,7.9,37.0,100.0,18.0,88.9,0.05,1365.0,30.0,65.8,94.3,68.9,58.0,81.0,73.7,91.7,1
4.5,7.7,192.0,253.0,186.0,?,5.0,1818,7.6,250.0,194,?,4.5,1745,7.5,108.0,197.0,80.0,?,0.3,1625,7.5,14.0,48.0,13.0,?,0.02,1726.0,56.8,58.8,94.4,87.0,75.6,92.7,81.0,93.0,0
1.0,7.9,189.0,457.0,1004.0,25.5,24.0,1218,7.8,234.0,1384,25.4,35.0,1257,7.7,156.0,323.0,140.0,65.7,0.3,1308,7.8,19.0,79.0,21.0,81.0,0.05,1172.0,33.3,89.9,99.1,87.8,75.5,89.9,82.7,97.9,0
0.36,7.5,99.0,585.0,140.0,71.4,?,962,7.6,103.0,194,62.3,?,966,7.6,61.0,129.0,55.0,83.6,?,993,7.7,25.0,95.0,26.0,76.9,?,968.0,40.8,71.6,?,59.0,26.4,74.7,83.8,81.4,0
1.7,7.9,142.0,272.0,160.0,56.3,2.0,1543,7.9,154.0,174,57.5,3.0,1485,7.8,114.0,295.0,86.0,74.4,0.3,1560,7.6,18.0,74.0,14.0,85.7,0.0,1565.0,26.0,50.6,90.0,84.2,74.9,87.3,72.8,91.3,0
12.5,7.5,?,?,196.0,72.5,?,1245,7.6,370.0,194,75.3,?,1185,7.7,212.0,230.0,110.0,74.6,?,1163,7.6,15.0,99.0,14.0,91.4,?,1207.0,42.7,43.3,?,92.9,57.0,?,?,92.9,0
2.0,7.7,175.0,321.0,176.0,58.0,3.5,1335,7.8,198.0,192,58.3,4.0,1418,7.7,141.0,281.0,76.0,78.9,0.3,1316,7.5,12.0,67.0,11.0,100.0,0.0,1308.0,28.8,60.4,92.5,91.5,76.2,93.1,79.1,93.8,0
0.36,7.6,157.0,392.0,232.0,53.4,5.0,1565,7.7,163.0,274,54.0,6.0,1517,7.8,103.0,250.0,76.0,81.6,0.2,1630,7.6,18.0,65.0,22.0,81.8,0.03,1610.0,36.8,72.3,97.5,82.5,74.0,88.5,83.4,90.5,0
0.2,7.7,142.0,376.0,144.0,70.8,3.0,940,7.6,129.0,164,69.5,7.5,918,7.6,?,255.0,86.0,79.1,0.2,933,7.8,9.0,57.0,14.0,82.9,0.02,947.0,?,47.6,97.3,?,77.6,93.7,84.8,90.3,0
0.9,7.3,185.0,395.0,216.0,62.0,3.0,1367,7.4,238.0,232,59.5,3.0,1383,7.5,93.0,263.0,102.0,58.8,0.3,1356,7.6,31.0,117.0,39.0,71.8,0.01,1444.0,60.9,56.0,90.0,66.7,55.5,83.2,70.4,81.9,0
3.3,7.3,133.0,310.0,208.0,56.7,3.5,1134,7.5,137.0,168,64.3,2.5,1133,7.6,104.0,212.0,64.0,81.3,0.2,1143,7.6,6.0,90.0,12.0,83.3,0.01,1226.0,24.1,61.9,92.0,94.2,57.5,95.5,71.0,94.2,0
1.8,7.6,198.0,432.0,224.0,64.3,4.0,2150,7.7,195.0,208,67.3,3.5,2100,7.6,106.0,290.0,92.0,73.9,0.2,2140,7.6,19.0,90.0,33.0,82.4,0.01,2240.0,45.6,55.8,95.7,82.1,69.0,90.4,79.2,85.3,0
1.0,7.8,181.0,462.0,216.0,62.0,5.5,1315,7.8,197.0,354,54.2,8.0,1377,7.8,124.0,307.0,118.0,64.4,0.3,1270,7.7,22.0,68.0,20.0,75.0,0.05,1142.0,37.1,66.7,96.3,82.3,77.9,87.8,85.3,90.7,0
0.7,7.3,203.0,405.0,212.0,67.9,4.5,1922,7.3,?,320,61.3,8.5,1874,7.4,97.0,225.0,74.0,78.4,0.3,1820,7.4,22.0,114.0,24.0,70.8,0.1,1796.0,?,76.9,97.1,77.3,49.3,89.2,71.9,88.7,1
3.0,7.7,138.0,259.0,456.0,22.8,4.0,1007,7.6,160.0,584,26.7,7.5,1039,7.6,101.0,176.0,126.0,47.6,0.5,1113,7.6,22.0,59.0,16.0,68.8,0.0,1194.0,36.9,78.4,93.3,78.2,66.5,84.1,77.2,96.5,0
1.2,7.8,246.0,641.0,376.0,56.4,6.0,1683,7.8,265.0,378,58.2,8.0,1724,7.9,132.0,338.0,170.0,63.5,1.7,1710,7.9,31.0,100.0,34.0,79.4,0.02,1742.0,50.2,55.0,79.4,76.5,70.4,87.4,84.4,91.0,0
2.6,8.1,238.0,490.0,170.0,70.6,5.0,1652,8.2,305.0,244,67.2,5.5,1643,8.2,135.0,371.0,102.0,70.6,1.0,1772,8.0,23.0,95.0,20.0,85.0,0.02,1800.0,55.7,58.2,81.8,83.0,74.4,90.3,80.6,88.2,0
3.5,7.8,149.0,361.0,186.0,62.4,3.2,1651,7.8,204.0,204,66.7,5.0,1751,7.9,155.0,345.0,106.0,69.8,0.5,1623,7.5,27.0,103.0,38.0,81.6,0.05,1597.0,24.0,48.0,90.0,82.6,70.1,81.9,71.5,79.6,1
0.7,8.0,427.0,815.0,204.0,70.6,?,1455,7.9,517.0,186,73.1,?,1558,7.9,?,423.0,118.0,78.0,?,1602,7.4,23.0,101.0,20.0,88.0,?,1590.0,?,36.6,?,?,76.1,94.6,87.6,90.2,0
3.0,8.0,145.0,398.0,192.0,66.7,4.5,2240,8.0,213.0,240,61.7,6.0,2010,8.0,140.0,287.0,84.0,78.6,0.4,2270,7.8,15.0,87.0,21.0,81.0,0.0,2290.0,34.3,65.0,94.2,89.3,69.7,89.7,78.1,89.1,0
2.5,8.0,290.0,459.0,228.0,71.9,7.5,1684,8.0,449.0,298,71.1,9.0,1746,8.0,187.0,352.0,112.0,91.1,0.6,1828,7.8,28.0,57.0,22.0,87.3,0.02,1740.0,58.4,62.4,93.3,85.0,83.8,90.3,87.6,90.4,0
0.25,8.0,174.0,442.0,268.0,57.5,5.7,1306,7.9,180.0,302,64.2,7.2,1316,7.9,121.0,275.0,96.0,70.8,0.4,1219,7.9,20.0,54.0,18.0,77.8,0.02,1241.0,32.8,68.2,94.4,83.5,80.4,88.5,87.8,93.3,0
0.8,7.9,155.0,243.0,210.0,47.6,2.5,848,7.9,170.0,138,52.2,1.5,858,8.0,89.0,133.0,74.0,75.7,0.3,902,8.0,9.0,35.0,12.0,58.3,0.02,898.0,47.6,46.4,83.3,89.9,73.7,94.2,85.6,94.3,0
1.2,8.1,155.0,382.0,174.0,66.7,7.0,1205,7.9,295.0,212,73.6,5.5,1319,7.8,147.0,312.0,90.0,75.6,0.3,1246,7.6,18.0,87.0,24.0,76.7,0.05,1244.0,50.2,57.5,94.5,87.8,72.1,88.4,77.2,86.2,0
2.0,7.7,192.0,298.0,162.0,67.9,4.0,1241,7.7,160.0,188,68.1,4.5,1243,7.7,118.0,278.0,110.0,74.5,0.7,1285,7.5,30.0,98.0,45.0,74.1,0.05,1399.0,26.3,41.5,84.4,74.6,64.7,84.4,67.1,72.2,1
5.0,7.8,139.0,380.0,256.0,53.1,5.5,2040,7.8,201.0,340,47.6,8.5,2000,7.9,131.0,278.0,104.0,73.1,0.2,1950,7.9,11.0,51.0,8.0,57.5,0.02,1690.0,34.8,69.4,97.6,91.6,81.7,92.1,86.6,96.9,0
0.7,8.2,233.0,506.0,204.0,66.7,6.7,1692,8.3,218.0,212,66.0,10.5,1614,7.9,188.0,355.0,88.0,81.8,0.2,1516,7.5,47.0,116.0,59.0,81.4,0.05,1483.0,13.8,58.5,98.6,75.0,67.3,79.8,77.1,71.1,0
3.0,7.8,155.0,389.0,308.0,49.4,6.0,1927,7.7,252.0,308,49.4,6.5,2150,7.7,121.0,302.0,108.0,72.2,0.6,1950,7.6,15.0,87.0,23.0,69.7,0.0,1869.0,52.0,64.9,90.8,87.6,71.2,90.3,77.6,92.5,0
0.32,7.8,192.0,346.0,172.0,68.6,4.0,988,7.8,210.0,192,68.8,4.5,991,7.7,100.0,215.0,80.0,73.8,0.1,966,7.9,17.0,88.0,16.0,90.0,0.0,950.0,?,58.3,97.8,83.0,59.1,91.1,74.6,90.7,0
1.2,7.8,132.0,297.0,176.0,45.5,1.5,1140,8.0,133.0,172,44.2,1.3,1072,7.9,98.0,246.0,84.0,61.9,0.3,1111,7.6,24.0,63.0,16.0,68.8,0.0,1014.0,26.3,51.2,80.8,75.5,74.4,81.8,78.8,90.9,0
0.7,7.6,149.0,359.0,242.0,61.2,4.0,1315,7.7,221.0,280,62.9,7.0,1240,7.7,121.0,294.0,138.0,62.3,0.7,1250,7.8,105.0,290.0,104.0,86.5,0.0,1434.0,45.2,50.7,90.0,13.2,1.4,29.5,19.2,57.0,0
1.4,7.8,189.0,357.0,172.0,67.4,4.0,1160,7.7,213.0,212,62.3,5.5,1232,7.7,123.0,255.0,80.0,80.0,0.3,1237,7.6,30.0,122.0,42.0,81.0,0.05,1304.0,42.3,62.3,94.5,75.6,52.2,84.1,65.8,75.6,1
2.0,8.0,166.0,396.0,176.0,70.5,4.0,1265,8.0,178.0,188,70.2,5.5,1380,7.8,165.0,368.0,90.0,77.8,0.2,1434,7.5,26.0,106.0,31.0,83.9,0.0,1442.0,7.3,52.1,96.4,84.2,71.2,84.3,73.2,82.4,0
6.0,7.7,300.0,610.0,452.0,45.1,8.0,1313,7.7,375.0,556,43.9,10.0,1312,7.7,150.0,323.0,212.0,49.1,2.5,1238,7.7,21.0,116.0,14.0,85.7,0.02,1133.0,60.0,61.9,75.0,86.0,64.1,93.0,81.0,96.9,0
1.5,7.9,179.0,344.0,172.0,65.1,3.8,1379,8.0,148.0,156,74.4,4.0,1412,7.8,155.0,301.0,86.0,81.4,0.2,1426,7.5,26.0,97.0,35.0,82.9,0.0,1470.0,?,44.9,95.0,83.2,67.8,85.5,71.8,79.7,0
3.25,7.9,222.0,516.0,456.0,46.5,8.5,1335,7.9,302.0,374,52.9,9.0,1393,7.8,161.0,352.0,110.0,74.6,0.4,1450,7.7,21.0,96.0,19.0,82.1,0.02,1493.0,46.7,70.6,95.6,87.0,72.7,90.5,81.4,95.8,0
0.73,7.8,231.0,473.0,222.0,62.2,4.5,1309,7.8,279.0,268,57.5,6.0,1368,7.9,118.0,299.0,82.0,78.0,0.2,1529,7.7,27.0,136.0,29.0,75.9,0.02,1523.0,57.7,69.4,97.5,77.1,54.5,88.3,71.2,86.9,0
1.3,8.2,145.0,747.0,310.0,55.5,6.0,1059,8.2,181.0,264,53.0,4.7,1056,8.1,118.0,353.0,110.0,65.5,1.0,1082,7.7,15.0,100.0,18.0,77.8,0.02,1210.0,34.8,58.3,78.7,87.3,71.7,89.7,86.6,94.2,0
0.9,7.5,127.0,284.0,188.0,?,2.8,2260,7.6,143.0,222,?,3.5,2500,7.6,114.0,192.0,92.0,?,0.4,2140,7.7,?,62.0,14.0,?,0.0,2100.0,20.3,58.6,90.0,?,67.7,?,78.2,92.6,0
3.4,7.7,283.0,310.0,170.0,61.2,2.5,1065,7.8,235.0,270,51.1,5.5,1100,7.8,110.0,227.0,108.0,66.7,0.5,1090,7.9,16.0,85.0,20.0,80.0,0.02,993.0,53.2,60.0,91.8,85.5,62.6,94.3,72.6,88.2,0
0.35,8.0,66.0,152.0,364.0,20.3,1.6,1403,8.1,86.0,412,19.9,2.5,1383,8.0,49.0,114.0,80.0,46.3,0.2,1407,8.0,11.0,24.0,12.0,76.7,0.0,1433.0,43.0,80.6,92.0,77.6,78.9,83.3,84.2,96.7,0
0.3,8.0,201.0,434.0,118.0,73.0,5.0,1727,8.1,300.0,214,72.9,4.5,1700,8.1,131.0,317.0,114.0,66.7,0.9,1749,7.7,12.0,55.0,18.0,66.7,0.01,1750.0,56.3,46.7,80.0,90.8,82.6,94.0,87.3,84.7,0
4.5,8.2,139.0,263.0,144.0,61.1,1.5,1665,8.3,159.0,204,50.9,2.5,1717,8.0,85.0,208.0,80.0,82.5,0.2,1807,7.8,9.0,51.0,10.0,90.0,0.01,1698.0,46.5,60.8,92.0,89.4,75.5,93.5,80.6,93.1,0
1.0,7.5,319.0,465.0,214.0,63.6,5.5,1308,7.6,364.0,388,50.5,7.5,1344,7.7,143.0,261.0,100.0,70.0,0.4,1378,7.7,18.0,104.0,11.0,87.3,0.02,1345.0,60.7,74.2,94.7,87.4,60.2,94.4,77.6,94.9,0
4.85,7.9,209.0,416.0,196.0,68.4,5.0,1711,7.9,277.0,250,69.6,7.0,1774,7.9,138.0,348.0,110.0,78.2,0.6,1845,7.7,16.0,107.0,19.0,77.8,0.02,1813.0,50.2,56.0,91.4,88.4,69.3,92.3,74.3,90.3,0
8.0,7.7,211.0,488.0,268.0,53.7,5.8,1212,7.9,265.0,348,57.5,8.5,1274,7.7,151.0,306.0,88.0,79.5,0.2,1309,7.7,15.0,63.0,12.0,83.3,0.0,1320.0,43.0,74.7,97.6,90.1,79.4,92.9,87.1,95.5,0
4.5,7.8,152.0,318.0,204.0,55.9,3.5,1615,7.9,135.0,236,56.8,4.5,1595,7.9,103.0,198.0,74.0,75.7,0.3,1630,7.9,13.0,62.0,13.0,86.2,0.01,1534.0,23.7,68.6,93.3,87.4,68.7,91.4,80.5,93.6,0
1.14,7.8,181.0,358.0,228.0,64.0,4.3,1224,7.9,243.0,456,49.6,9.5,1263,7.9,107.0,272.0,112.0,66.7,0.3,1265,7.8,16.0,105.0,16.0,75.0,0.01,1268.0,56.0,75.4,96.8,85.0,61.4,91.2,70.7,93.0,0
1.7,7.7,72.0,180.0,122.0,49.2,2.5,990,7.7,98.0,122,45.9,1.8,986,7.6,61.0,180.0,70.0,62.9,0.2,923,7.6,21.0,72.0,18.0,83.3,0.0,1109.0,37.8,42.6,88.9,65.6,60.0,70.8,60.0,85.2,0
0.75,7.6,179.0,432.0,1228.0,22.8,36.0,1889,7.6,174.0,1692,21.3,46.0,1906,7.7,99.0,227.0,90.0,66.7,0.5,1962,7.6,18.0,71.0,17.0,82.4,0.02,1932.0,43.1,94.7,98.9,81.8,68.7,89.9,83.6,98.6,0
0.56,7.8,273.0,473.0,210.0,73.3,4.5,1232,7.9,213.0,224,68.8,6.0,1257,7.9,170.0,310.0,116.0,79.3,0.1,1214,7.7,22.0,85.0,22.0,78.8,0.0,1116.0,20.2,48.2,98.3,87.1,72.6,91.9,82.0,89.5,0
0.47,8.2,154.0,310.0,128.0,71.9,3.0,1520,8.2,164.0,148,70.3,3.0,1350,8.1,126.0,237.0,82.0,80.5,0.2,1403,7.7,15.0,50.0,11.0,90.9,0.0,1280.0,23.2,44.6,93.3,88.1,78.9,90.3,83.9,91.4,0
0.8,8.3,230.0,524.0,158.0,70.9,5.0,1178,8.2,285.0,186,66.7,5.5,1217,8.1,117.0,304.0,82.0,70.7,0.3,1178,7.8,13.0,92.0,13.0,73.1,0.02,1114.0,58.9,55.9,94.5,88.9,69.7,94.3,82.4,91.8,0
2.57,8.0,212.0,546.0,184.0,72.8,4.5,2240,8.0,312.0,182,74.7,4.3,2160,8.0,169.0,329.0,94.0,74.5,0.5,1940,7.8,16.0,91.0,14.0,92.9,0.0,1860.0,45.8,48.4,89.4,90.5,72.3,92.5,83.3,92.4,0
3.5,7.9,205.0,588.0,192.0,65.6,4.5,2430,7.8,236.0,268,73.1,8.5,2280,7.8,158.0,376.0,96.0,77.1,0.4,2060,7.6,20.0,104.0,20.0,96.7,0.0,1840.0,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6,0
3.0,7.8,159.0,234.0,292.0,32.9,3.0,1140,7.8,182.0,344,32.6,4.0,1125,7.9,111.0,218.0,100.0,52.0,0.3,1231,7.8,12.0,36.0,14.0,77.1,0.0,1276.0,39.0,70.9,93.8,89.2,83.5,92.5,84.6,95.2,0
1.0,7.6,219.0,511.0,286.0,58.0,6.5,1326,7.8,243.0,382,56.5,7.0,1420,7.8,142.0,323.0,106.0,71.7,0.2,1359,7.7,22.0,98.0,21.0,74.3,0.02,1361.0,41.6,72.3,97.1,84.5,69.7,90.0,80.8,92.7,0
0.6,8.1,404.0,455.0,448.0,38.4,5.0,1229,7.8,491.0,692,38.7,11.5,1279,7.8,285.0,?,110.0,70.9,0.4,1156,7.8,20.0,83.0,25.0,90.7,0.05,1021.0,42.0,84.1,97.0,93.0,?,95.0,81.8,94.4,1
1.41,8.1,380.0,318.0,194.0,55.7,2.7,1970,8.1,137.0,188,55.3,1.8,2080,8.0,99.0,239.0,104.0,63.5,0.4,2130,7.9,16.0,71.0,22.0,59.1,0.02,2190.0,27.7,44.7,77.8,83.8,70.3,95.8,77.7,88.7,0
2.0,7.8,172.0,506.0,200.0,69.0,5.0,1865,7.8,208.0,248,66.1,6.5,1929,7.8,164.0,463.0,100.0,78.0,0.6,1825,7.6,19.0,157.0,27.0,87.0,0.02,1616.0,21.2,59.7,90.8,88.4,66.1,89.0,69.0,86.5,0
1.0,7.9,215.0,500.0,252.0,61.9,4.7,1512,7.8,233.0,348,49.4,7.5,1427,7.8,147.0,327.0,102.0,68.6,0.3,1436,7.9,25.0,75.0,23.0,78.3,0.01,1409.0,36.9,70.7,96.0,83.0,77.1,88.4,85.0,90.9,0
0.3,7.3,200.0,545.0,258.0,65.1,4.0,1260,7.4,191.0,226,67.3,3.5,1198,7.5,115.0,244.0,77.0,76.6,0.1,1351,7.7,21.0,71.0,27.0,71.1,0.01,1326.0,39.8,65.9,97.1,81.7,70.9,89.5,87.0,89.5,0
1.5,7.7,156.0,547.0,166.0,66.3,6.0,1667,7.9,135.0,174,67.8,4.0,1730,7.9,118.0,333.0,100.0,74.0,1.0,1619,7.7,15.0,120.0,17.0,82.4,0.02,1576.0,12.6,42.5,75.0,87.3,64.0,90.4,78.1,89.8,0
2.5,7.7,206.0,451.0,194.0,69.1,4.5,1249,7.7,206.0,220,61.8,4.0,1219,7.7,111.0,282.0,124.0,77.4,0.3,1233,7.5,16.0,118.0,19.0,84.2,0.03,1338.0,46.1,43.6,92.5,85.6,58.2,92.2,73.8,90.2,0
0.13,7.6,179.0,265.0,128.0,71.9,1.8,992,7.6,102.0,120,85.0,2.0,1012,7.7,88.0,188.0,66.0,84.9,0.1,1036,7.9,11.0,54.0,14.0,82.9,0.0,1044.0,13.7,45.0,95.0,87.5,71.3,93.9,79.6,89.1,0
1.1,7.3,133.0,520.0,?,85.0,3.3,1258,7.6,155.0,128,79.7,3.0,1251,7.7,87.0,194.0,?,?,0.2,1130,7.8,16.0,44.0,?,?,0.01,1165.0,43.9,?,93.3,81.6,77.3,88.0,91.5,?,0
5.0,7.7,215.0,489.0,334.0,40.7,6.0,1613,7.6,?,304,53.9,8.0,1557,7.6,181.0,350.0,90.0,71.1,0.4,1596,7.5,17.0,162.0,18.0,66.7,0.0,1606.0,?,70.4,95.6,90.6,53.7,92.1,66.9,94.6,0
2.6,7.8,198.0,604.0,288.0,58.3,4.7,1235,7.8,229.0,222,60.4,4.5,1330,7.7,144.0,391.0,104.0,73.1,0.9,1320,7.7,31.0,159.0,41.0,82.9,0.02,1399.0,37.1,53.2,80.0,78.5,59.3,84.3,73.7,85.8,0
8.5,7.5,138.0,333.0,240.0,55.0,3.8,1087,7.5,153.0,184,67.4,4.0,1109,7.5,108.0,194.0,82.0,85.4,0.4,1136,7.1,16.0,62.0,17.0,94.1,0.0,1223.0,29.4,55.4,91.3,85.2,68.0,88.4,81.4,92.9,0
1.58,7.8,119.0,220.0,128.0,62.5,1.5,1444,7.9,117.0,138,55.1,1.2,1493,7.9,91.0,161.0,76.0,68.4,0.3,1391,7.9,7.0,45.0,9.0,84.4,0.01,1431.0,22.2,44.9,75.0,92.3,72.0,94.1,79.5,93.0,0
2.7,7.9,122.0,287.0,168.0,50.0,2.0,1906,7.8,157.0,188,53.2,2.0,2130,7.8,99.0,198.0,92.0,58.7,0.2,810,7.8,12.0,43.0,16.0,77.5,0.05,1425.0,36.9,51.1,92.5,87.9,78.3,90.2,85.0,90.5,1
