FICE,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,binaryClass
1598,GA,I,619.0,444.0,378.0,489,768.0,553.0,464.0,607,650,552,391,64,0
3694,VT,IIB,501.0,414.0,344.0,404,675.0,548.0,457.0,540,33,38,46,0,1
2121,MA,IIB,787.0,613.0,557.0,633,975.0,769.0,700.0,790,31,45,31,3,1
2948,NC,IIB,?,304.0,274.0,299,?,393.0,355.0,393,4,12,8,0,1
2211,MA,IIA,520.0,404.0,321.0,376,643.0,501.0,399.0,467,34,45,78,17,1
3157,OK,IIB,459.0,375.0,313.0,342,545.0,454.0,383.0,415,12,31,34,29,1
1094,AR,IIB,309.0,280.0,274.0,285,428.0,383.0,376.0,391,14,9,15,2,1
2775,NY,IIB,541.0,435.0,353.0,381,697.0,551.0,463.0,494,16,20,58,22,1
3382,PA,IIB,554.0,430.0,322.0,404,704.0,538.0,401.0,507,16,63,32,17,1
2933,NC,IIB,475.0,397.0,330.0,349,591.0,496.0,407.0,435,14,25,35,9,1
3072,OH,IIB,410.0,352.0,306.0,343,515.0,441.0,383.0,432,20,18,26,4,1
3252,PA,IIB,504.0,411.0,347.0,379,649.0,511.0,426.0,473,10,27,21,15,1
1107,AR,IIA,461.0,389.0,321.0,362,575.0,484.0,402.0,453,27,31,34,23,1
3691,VT,IIB,678.0,469.0,398.0,512,878.0,599.0,493.0,651,68,33,56,14,1
3704,VA,IIB,450.0,390.0,332.0,383,563.0,483.0,417.0,479,22,15,21,4,1
3923,WI,IIA,485.0,399.0,340.0,420,622.0,519.0,449.0,545,112,57,57,2,1
2275,MI,IIB,553.0,440.0,352.0,452,696.0,569.0,440.0,571,36,25,24,7,1
1988,KY,IIB,314.0,287.0,255.0,277,383.0,353.0,304.0,335,11,20,8,9,1
1326,CA,IIA,763.0,555.0,487.0,578,938.0,704.0,624.0,729,85,117,90,0,0
2765,NY,IIB,580.0,485.0,373.0,417,741.0,643.0,481.0,542,16,34,91,0,1
3484,GA,IIB,429.0,371.0,312.0,388,519.0,492.0,390.0,484,19,12,6,1,1
2654,NM,I,538.0,421.0,405.0,448,648.0,512.0,494.0,544,39,32,29,5,1
2454,MO,IIA,517.0,440.0,379.0,429,630.0,538.0,467.0,526,158,103,135,53,0
3181,OK,IIA,464.0,429.0,382.0,393,567.0,528.0,474.0,485,56,33,65,44,1
2734,NY,IIB,370.0,323.0,265.0,327,487.0,424.0,343.0,428,30,29,17,1,1
2506,MO,I,657.0,475.0,402.0,500,783.0,575.0,484.0,600,133,111,120,31,0
2911,NC,IIB,351.0,377.0,300.0,323,418.0,437.0,346.0,375,9,16,16,11,1
1302,CA,IIA,614.0,494.0,404.0,500,754.0,616.0,497.0,618,38,55,42,0,1
1101,AR,IIA,536.0,416.0,372.0,415,651.0,506.0,450.0,504,128,117,72,63,0
10256,KS,IIB,335.0,316.0,278.0,296,374.0,368.0,327.0,342,11,16,16,7,1
1414,CT,IIB,706.0,501.0,394.0,550,901.0,650.0,494.0,704,57,49,32,0,1
1238,CA,IIA,593.0,461.0,407.0,492,737.0,571.0,507.0,612,28,16,23,2,1
2039,ME,IIB,745.0,515.0,383.0,524,904.0,622.0,453.0,629,43,33,60,4,1
3274,PA,IIB,653.0,498.0,392.0,521,876.0,702.0,551.0,716,40,19,33,3,1
2051,ME,IIB,?,321.0,283.0,295,?,391.0,353.0,370,4,8,33,0,1
6771,MI,IIB,401.0,333.0,263.0,360,489.0,413.0,331.0,442,29,11,6,2,1
1626,ID,I,514.0,408.0,373.0,438,640.0,514.0,472.0,550,217,165,155,9,0
1004,AL,IIA,441.0,385.0,310.0,388,542.0,473.0,383.0,477,57,33,35,2,1
3368,PA,IIB,436.0,399.0,317.0,363,603.0,540.0,406.0,481,14,20,20,10,1
2053,ME,I,574.0,436.0,366.0,449,716.0,552.0,463.0,566,122,197,102,19,0
7109,NY,IIB,592.0,480.0,374.0,466,758.0,616.0,485.0,599,36,42,40,8,1
3692,VT,IIA,423.0,356.0,297.0,371,545.0,468.0,394.0,484,62,51,32,1,1
3683,VT,IIB,432.0,355.0,302.0,355,580.0,484.0,410.0,480,26,27,34,3,1
1800,IN,IIB,326.0,264.0,228.0,285,439.0,372.0,334.0,395,14,11,6,0,1
1735,IL,IIB,415.0,337.0,285.0,339,540.0,426.0,352.0,431,23,18,18,2,1
3785,WA,IIA,494.0,409.0,351.0,422,617.0,513.0,434.0,527,78,88,63,0,1
3624,TX,IIA,473.0,379.0,338.0,380,582.0,478.0,434.0,481,138,74,114,37,0
1253,CA,IIB,?,?,?,361,?,?,?,447,0,0,0,0,1
3354,PA,IIB,538.0,425.0,362.0,417,693.0,571.0,452.0,538,17,28,39,1,1
2132,MA,IIB,447.0,352.0,310.0,346,557.0,450.0,384.0,435,9,18,8,6,1
2118,MA,IIB,479.0,400.0,325.0,385,610.0,518.0,413.0,492,22,42,40,3,1
3823,WV,IIB,417.0,327.0,235.0,337,513.0,404.0,294.0,417,42,62,18,7,1
29100,DC,IIA,559.0,476.0,390.0,491,686.0,586.0,482.0,604,184,113,95,8,0
5015,WI,IIA,535.0,427.0,391.0,434,680.0,553.0,510.0,561,49,58,37,1,1
1100,AR,IIB,372.0,338.0,304.0,341,478.0,414.0,375.0,426,23,22,10,3,1
1328,CA,I,802.0,574.0,484.0,641,1016.0,751.0,636.0,825,485,354,286,27,0
3734,VA,IIB,495.0,411.0,337.0,409,623.0,512.0,424.0,512,17,28,18,2,1
2326,MI,IIA,552.0,452.0,408.0,451,701.0,583.0,531.0,582,70,66,51,0,1
1444,DC,I,729.0,542.0,447.0,610,874.0,653.0,536.0,733,316,175,134,12,0
1151,CA,IIA,602.0,479.0,403.0,547,756.0,615.0,524.0,693,576,223,100,10,0
1047,AL,IIA,462.0,385.0,322.0,350,560.0,467.0,392.0,426,25,59,100,19,1
1739,IL,I,860.0,596.0,496.0,712,1045.0,735.0,602.0,868,460,209,203,0,0
1008,AL,IIB,466.0,394.0,351.0,396,558.0,476.0,427.0,478,20,18,30,0,1
1776,IL,I,656.0,476.0,411.0,513,755.0,555.0,483.0,596,401,369,296,20,0
2396,MS,IIB,419.0,371.0,326.0,320,534.0,473.0,414.0,406,25,35,35,73,1
2533,MT,IIA,403.0,342.0,309.0,332,493.0,425.0,384.0,411,15,19,41,3,1
2703,NY,IIB,?,388.0,336.0,366,?,476.0,410.0,450,5,24,20,7,1
3376,PA,IIB,408.0,342.0,287.0,369,534.0,443.0,376.0,481,33,14,10,1,1
3402,RI,IIB,632.0,582.0,502.0,556,812.0,746.0,629.0,709,40,43,45,0,1
3287,PA,IIA,585.0,482.0,426.0,470,733.0,616.0,543.0,597,30,80,95,4,1
2788,NY,IIA,503.0,430.0,376.0,443,612.0,524.0,448.0,537,39,43,24,2,1
3194,OR,IIB,418.0,373.0,302.0,355,531.0,468.0,371.0,444,20,27,27,3,1
3154,OK,IIB,453.0,407.0,352.0,378,538.0,488.0,429.0,456,39,31,64,23,1
3652,TX,I,681.0,462.0,398.0,520,836.0,585.0,510.0,651,341,288,238,24,0
2768,NY,IIB,426.0,349.0,297.0,357,546.0,442.0,383.0,455,17,24,13,2,1
3746,VA,IIB,475.0,397.0,325.0,401,602.0,507.0,421.0,513,59,43,48,0,1
1745,IL,IIB,372.0,371.0,285.0,345,459.0,462.0,351.0,427,18,21,14,2,1
3736,VA,IIB,494.0,408.0,338.0,412,624.0,523.0,422.0,522,27,37,28,0,1
1360,CO,IIB,480.0,406.0,351.0,418,568.0,485.0,424.0,498,159,90,111,8,0
3446,SC,IIB,458.0,379.0,307.0,350,561.0,467.0,382.0,432,59,58,77,36,1
1452,DC,IIB,?,360.0,288.0,330,?,453.0,364.0,413,3,10,17,0,1
1665,IL,IIB,?,?,?,349,?,?,?,446,0,0,0,0,1
1051,AL,I,605.0,447.0,382.0,463,746.0,563.0,483.0,580,267,206,206,76,0
3771,WA,IIA,483.0,355.0,292.0,401,596.0,447.0,374.0,501,172,80,72,0,0
1065,AK,IIA,533.0,494.0,329.0,415,716.0,663.0,442.0,559,9,26,20,9,1
2292,MI,IIA,668.0,482.0,420.0,511,854.0,638.0,563.0,671,99,124,95,11,0
3399,PA,IIB,615.0,512.0,414.0,464,809.0,664.0,537.0,603,13,32,67,1,1
2519,MO,I,576.0,460.0,412.0,476,699.0,561.0,503.0,579,86,103,110,5,0
2739,NY,IIB,606.0,484.0,366.0,443,761.0,605.0,461.0,557,70,153,184,21,0
1139,CA,IIA,600.0,474.0,401.0,542,751.0,610.0,521.0,685,491,171,112,6,0
1365,CO,IIA,474.0,422.0,360.0,397,559.0,498.0,425.0,468,47,45,63,15,1
2307,MI,IIA,633.0,518.0,432.0,534,831.0,690.0,582.0,710,123,142,85,8,0
2825,NY,IIB,495.0,398.0,349.0,372,584.0,478.0,419.0,446,12,15,46,8,1
2842,NY,IIA,536.0,433.0,359.0,444,693.0,560.0,464.0,573,144,157,88,3,0
1890,IA,IIA,586.0,469.0,390.0,447,730.0,591.0,491.0,561,155,152,226,89,0
2512,MO,IIB,?,?,?,282,?,?,?,364,0,0,0,0,1
1141,CA,IIA,605.0,472.0,392.0,548,759.0,606.0,593.0,705,178,52,37,1,0
2329,MI,I,683.0,525.0,447.0,535,846.0,664.0,560.0,669,317,267,216,8,0
2282,MI,IIB,482.0,395.0,352.0,382,576.0,465.0,430.0,459,19,12,42,11,1
2836,NY,I,705.0,511.0,407.0,555,902.0,665.0,528.0,716,172,175,82,0,0
3869,WI,IIB,393.0,327.0,282.0,312,493.0,393.0,327.0,371,8,19,19,6,1
3420,SC,IIB,320.0,260.0,241.0,257,381.0,311.0,289.0,308,21,10,29,18,1
1172,CA,IIB,652.0,439.0,381.0,547,824.0,572.0,482.0,695,31,10,13,0,1
1691,IL,I,680.0,480.0,452.0,512,836.0,606.0,558.0,636,93,81,73,11,0
3086,OH,IIB,588.0,454.0,385.0,507,789.0,605.0,491.0,673,121,69,43,6,1
1050,AL,IIA,410.0,352.0,306.0,327,487.0,415.0,362.0,387,57,65,85,45,1
2777,NY,IIB,435.0,371.0,276.0,349,525.0,446.0,322.0,418,11,16,13,2,1
2530,MT,IIA,409.0,358.0,292.0,348,500.0,440.0,364.0,430,47,41,48,5,1
2979,NC,IIB,?,?,?,283,?,?,?,352,0,0,0,0,1
3092,OH,IIB,?,460.0,335.0,384,?,567.0,424.0,480,3,14,19,3,1
1537,FL,I,571.0,418.0,369.0,455,735.0,547.0,483.0,591,387,319,239,45,0
3571,TX,IIA,378.0,311.0,295.0,330,457.0,380.0,357.0,400,39,11,25,9,1
1437,DC,I,611.0,449.0,385.0,482,718.0,533.0,459.0,570,123,141,104,6,0
3380,PA,IIB,489.0,418.0,340.0,373,619.0,517.0,419.0,464,8,14,25,8,1
3576,TX,IIA,408.0,363.0,314.0,345,507.0,456.0,397.0,434,34,19,43,15,1
3151,OK,IIB,?,?,?,264,?,?,?,358,0,0,0,0,1
2542,NE,IIA,649.0,462.0,351.0,437,793.0,562.0,418.0,529,66,119,127,22,0
3409,RI,IIB,558.0,427.0,351.0,444,739.0,576.0,484.0,598,35,49,34,0,1
2566,NE,IIA,481.0,411.0,324.0,394,585.0,501.0,399.0,482,46,25,41,13,1
2006,LA,IIA,442.0,392.0,329.0,349,491.0,437.0,369.0,391,48,48,124,45,0
3428,SC,IIA,475.0,410.0,320.0,374,581.0,505.0,399.0,462,68,102,118,32,0
6791,NY,IIB,534.0,432.0,362.0,437,696.0,565.0,468.0,570,29,52,28,0,1
2591,NH,IIB,518.0,405.0,354.0,431,650.0,518.0,458.0,548,59,55,38,6,1
3212,OR,IIA,441.0,381.0,341.0,370,561.0,469.0,421.0,461,28,32,41,7,1
2353,MN,IIB,486.0,402.0,338.0,408,625.0,507.0,423.0,518,59,47,44,12,1
3143,OH,IIB,546.0,413.0,341.0,438,704.0,543.0,436.0,567,49,55,32,6,1
3739,VA,IIB,319.0,309.0,275.0,290,399.0,368.0,341.0,357,8,9,8,8,1
2543,NE,IIB,338.0,300.0,276.0,300,404.0,368.0,336.0,364,11,11,11,3,1
3505,TN,IIB,429.0,351.0,289.0,338,520.0,419.0,348.0,406,12,14,19,4,1
3313,PA,IIA,670.0,556.0,439.0,529,870.0,714.0,567.0,683,60,136,88,18,0
1577,GA,IIA,523.0,428.0,353.0,399,661.0,542.0,445.0,506,69,116,111,54,0
3293,PA,IIB,502.0,436.0,352.0,395,656.0,575.0,442.0,507,16,26,33,11,1
1824,IN,IIB,?,282.0,252.0,269,?,340.0,314.0,328,3,11,10,4,1
1147,CA,IIA,603.0,476.0,382.0,553,757.0,612.0,500.0,699,459,109,67,14,0
2004,LA,IIB,494.0,373.0,342.0,350,567.0,437.0,398.0,406,8,15,59,10,1
2375,MN,IIB,525.0,417.0,355.0,459,686.0,551.0,466.0,602,57,40,19,1,1
10298,TX,IIB,570.0,368.0,376.0,393,714.0,475.0,482.0,503,15,15,8,0,1
2931,NC,IIB,492.0,414.0,338.0,410,615.0,505.0,407.0,503,32,22,29,5,1
3598,TX,IIA,499.0,405.0,346.0,379,577.0,469.0,399.0,437,24,25,30,21,1
2102,MD,IIA,680.0,560.0,490.0,582,833.0,693.0,612.0,719,62,50,54,0,1
1900,IA,IIB,351.0,312.0,269.0,294,420.0,386.0,335.0,363,8,11,19,7,1
1264,CA,IIA,715.0,561.0,511.0,637,930.0,737.0,645.0,829,130,72,22,7,1
1635,IL,IIB,507.0,405.0,333.0,402,599.0,473.0,394.0,474,9,9,14,0,1
1092,AR,IIA,521.0,416.0,339.0,395,632.0,507.0,416.0,482,93,89,82,76,0
3100,OH,I,632.0,486.0,393.0,512,786.0,618.0,512.0,648,248,241,192,4,0
2002,KY,IIA,485.0,408.0,347.0,413,613.0,517.0,442.0,524,223,135,144,43,0
3926,WI,IIA,525.0,434.0,368.0,432,670.0,562.0,483.0,559,127,103,99,5,0
2124,MA,IIA,717.0,566.0,493.0,575,894.0,708.0,599.0,712,48,84,56,10,1
3723,VA,IIB,457.0,370.0,311.0,362,551.0,457.0,380.0,443,13,31,25,2,1
1678,IL,IIB,?,370.0,315.0,355,?,458.0,390.0,438,5,16,16,0,1
2536,MT,I,446.0,365.0,323.0,392,537.0,442.0,395.0,474,200,79,95,16,0
3432,SC,IIB,420.0,?,297.0,355,527.0,?,366.0,444,19,5,14,2,1
1741,IL,IIA,391.0,335.0,278.0,320,476.0,412.0,346.0,395,26,22,36,8,1
2068,MD,IIB,557.0,435.0,366.0,431,707.0,559.0,476.0,554,26,32,36,4,1
3463,SD,IIB,469.0,357.0,349.0,351,554.0,427.0,419.0,420,9,11,24,12,1
3036,OH,IIB,445.0,362.0,300.0,349,580.0,440.0,405.0,449,15,32,34,2,1
9554,NY,I,762.0,548.0,423.0,601,970.0,704.0,534.0,767,400,338,218,9,0
3822,WW,VIIB,415.0,348.0,312.0,342,508.0,421.0,383.0,418,27,31,33,14,1
9235,PA,IIA,649.0,539.0,419.0,517,824.0,694.0,549.0,665,100,92,110,22,0
1538,FL,IIB,495.0,425.0,371.0,416,593.0,513.0,438.0,497,36,37,46,4,1
2496,MO,IIA,526.0,404.0,348.0,379,634.0,490.0,425.0,461,48,49,85,36,1
2219,MA,I,735.0,549.0,447.0,592,964.0,710.0,607.0,777,148,157,98,2,0
3470,SD,IIA,473.0,414.0,362.0,419,562.0,495.0,435.0,500,45,28,26,5,1
2942,NC,IIB,?,257.0,263.0,259,?,292.0,298.0,294,5,12,22,14,1
4779,NY,IIA,631.0,513.0,408.0,531,825.0,672.0,520.0,690,233,175,124,22,0
11711,TX,IIA,558.0,479.0,409.0,467,696.0,605.0,520.0,590,48,65,45,4,1
2017,LA,IIA,456.0,374.0,323.0,363,554.0,458.0,398.0,446,76,77,104,33,0
3279,PA,IIB,488.0,391.0,316.0,419,634.0,497.0,427.0,545,36,20,16,2,1
1536,FL,I,693.0,510.0,408.0,513,895.0,654.0,514.0,659,291,200,147,20,0
3134,OH,IIB,413.0,350.0,297.0,306,476.0,410.0,361.0,363,8,10,20,24,1
3535,TN,I,807.0,522.0,432.0,612,988.0,651.0,538.0,756,289,160,177,9,0
2803,NY,I,750.0,548.0,475.0,640,922.0,703.0,601.0,799,190,118,61,0,0
1808,IN,IIA,493.0,421.0,377.0,384,636.0,545.0,477.0,491,35,38,58,50,1
1999,KY,I,584.0,442.0,368.0,476,715.0,547.0,449.0,584,276,208,169,12,0
3689,VT,IIB,433.0,366.0,293.0,366,584.0,501.0,411.0,500,18,22,17,0,1
1616,ID,IIA,448.0,391.0,354.0,391,566.0,498.0,453.0,498,157,111,100,7,0
3682,VT,IIB,?,?,?,373,?,?,?,449,0,0,0,0,1
1955,KY,IIB,552.0,428.0,355.0,436,675.0,518.0,421.0,525,32,43,31,6,1
1758,IL,I,564.0,436.0,359.0,422,657.0,517.0,431.0,500,272,255,313,33,0
1793,IN,IIB,514.0,394.0,338.0,445,639.0,483.0,414.0,551,44,13,22,0,1
1535,FL,I,613.0,430.0,399.0,501,790.0,567.0,527.0,653,981,721,510,49,0
1621,ID,IIB,391.0,329.0,292.0,338,499.0,425.0,381.0,436,39,35,35,1,1
2769,NY,IIB,?,407.0,332.0,382,?,495.0,407.0,464,4,26,19,0,1
9630,WI,IIA,541.0,435.0,374.0,439,688.0,562.0,490.0,567,104,108,130,4,0
3522,TN,IIA,477.0,418.0,330.0,407,595.0,524.0,420.0,512,111,78,71,28,0
2210,MA,IIA,572.0,482.0,420.0,526,722.0,611.0,535.0,665,203,61,32,1,0
1725,IL,IIB,443.0,339.0,325.0,381,544.0,412.0,385.0,464,20,12,11,1,1
3388,PA,IIA,726.0,535.0,438.0,536,912.0,698.0,586.0,698,133,143,206,21,0
3320,PA,IIA,676.0,531.0,415.0,526,858.0,696.0,556.0,686,95,72,85,20,0
3687,VT,IIB,416.0,355.0,309.0,342,518.0,448.0,390.0,430,9,11,10,5,1
3247,PA,IIB,493.0,425.0,346.0,377,578.0,508.0,420.0,455,9,22,48,5,1
3459,SD,IIB,410.0,341.0,303.0,329,487.0,409.0,366.0,396,24,13,50,11,1
2007,LA,IIB,375.0,324.0,308.0,338,484.0,427.0,401.0,440,25,13,18,4,1
2336,MN,IIA,490.0,403.0,341.0,419,629.0,520.0,443.0,539,91,40,50,11,1
1814,IN,IIB,519.0,432.0,380.0,397,665.0,548.0,482.0,504,13,21,29,0,1
2379,MN,IIB,512.0,412.0,353.0,418,672.0,523.0,435.0,532,37,44,38,6,1
3564,TX,IIB,377.0,318.0,325.0,329,460.0,409.0,403.0,409,19,9,17,10,1
3863,WI,I,705.0,521.0,426.0,527,884.0,662.0,525.0,662,94,238,151,0,0
3425,SC,I,602.0,441.0,375.0,466,728.0,544.0,465.0,571,296,224,191,42,0
1926,KS,IIA,450.0,381.0,331.0,375,567.0,484.0,425.0,477,103,76,70,4,0
2341,MN,IIB,493.0,404.0,334.0,381,595.0,512.0,405.0,468,18,50,47,8,1
6965,PA,I,721.0,509.0,417.0,522,887.0,642.0,525.0,652,622,449,427,160,0
3296,PA,IIA,514.0,429.0,356.0,412,635.0,524.0,443.0,508,25,41,52,3,1
3142,OH,IIB,407.0,357.0,303.0,335,481.0,430.0,364.0,401,10,18,32,1,1
2718,NY,IIB,497.0,342.0,306.0,359,666.0,449.0,395.0,472,13,24,26,0,1
6883,OH,I,703.0,491.0,415.0,555,846.0,603.0,516.0,676,758,679,443,30,0
2708,NY,IIB,733.0,516.0,395.0,508,943.0,652.0,509.0,654,49,19,56,6,1
3610,TX,IIB,354.0,300.0,257.0,282,425.0,363.0,313.0,343,12,8,8,12,1
1569,GA,I,684.0,517.0,462.0,558,862.0,665.0,594.0,711,235,206,167,17,0
1098,AR,IIB,447.0,375.0,341.0,375,561.0,480.0,435.0,477,55,42,33,25,1
6968,VA,I,777.0,517.0,430.0,610,953.0,653.0,545.0,757,445,277,201,18,0
2993,ND,IIB,415.0,?,313.0,340,519.0,?,399.0,429,9,4,21,3,1
3636,TX,I,654.0,477.0,423.0,511,811.0,599.0,518.0,632,107,109,99,9,0
1866,IA,IIB,411.0,331.0,301.0,345,490.0,401.0,366.0,418,26,11,29,1,1
3695,VT,IIB,364.0,340.0,299.0,325,432.0,407.0,365.0,392,6,20,11,1,1
3266,PA,IIA,453.0,377.0,341.0,365,586.0,489.0,434.0,469,35,54,76,17,1
2957,NC,IIB,427.0,360.0,319.0,350,511.0,437.0,384.0,422,14,21,20,8,1
9345,NJ,IIB,656.0,496.0,393.0,492,790.0,607.0,490.0,603,47,58,65,8,1
3165,OK,IIB,432.0,372.0,317.0,385,527.0,454.0,371.0,466,39,18,15,5,1
3216,OR,I,544.0,437.0,382.0,474,693.0,564.0,498.0,609,205,113,77,16,0
1852,IA,IIB,436.0,361.0,312.0,338,512.0,445.0,379.0,407,11,10,25,8,1
6858,ME,IIB,355.0,261.0,261.0,285,418.0,313.0,313.0,340,8,7,16,0,1
2433,MS,IIB,341.0,280.0,302.0,285,382.0,313.0,337.0,318,11,8,24,18,1
2910,NC,IIB,348.0,316.0,281.0,309,434.0,392.0,350.0,384,8,21,17,0,1
2126,MA,IIB,504.0,402.0,329.0,381,605.0,491.0,405.0,466,17,59,61,2,1
9401,CO,IIB,?,284.0,251.0,255,?,356.0,318.0,323,3,8,13,8,1
3615,TX,IIA,495.0,410.0,328.0,385,619.0,521.0,426.0,492,209,135,204,53,0
3370,PA,IIB,704.0,519.0,417.0,562,868.0,651.0,526.0,699,68,44,47,2,1
3430,SC,IIB,415.0,355.0,330.0,358,515.0,441.0,402.0,442,23,25,15,9,1
1846,IA,IIB,367.0,324.0,286.0,313,473.0,412.0,359.0,398,16,13,28,3,1
1710,IL,I,761.0,536.0,433.0,570,924.0,664.0,536.0,701,164,230,163,6,0
2928,NC,IIA,525.0,437.0,375.0,407,640.0,536.0,460.0,499,27,72,50,4,1
1795,IN,IIA,500.0,415.0,351.0,414,602.0,505.0,415.0,496,57,43,58,4,1
3371,PA,I,736.0,579.0,454.0,606,913.0,724.0,568.0,755,490,332,291,37,0
3256,PA,I,674.0,496.0,459.0,568,843.0,619.0,570.0,709,153,114,73,0,0
2099,MD,IIA,531.0,433.0,388.0,439,692.0,565.0,505.0,573,141,136,169,25,0
2086,MD,IIB,465.0,384.0,311.0,358,563.0,487.0,382.0,448,14,29,34,4,1
2617,NJ,IIA,647.0,521.0,417.0,532,802.0,661.0,541.0,672,155,130,125,9,0
1949,KS,IIA,594.0,438.0,333.0,457,719.0,540.0,416.0,561,76,55,59,11,1
3366,PA,IIB,472.0,392.0,323.0,375,573.0,481.0,403.0,463,20,14,24,8,1
3775,WA,IIA,480.0,406.0,352.0,425,601.0,514.0,451.0,537,181,79,74,14,0
2579,NH,IIB,423.0,329.0,251.0,327,551.0,437.0,313.0,423,20,20,23,2,1
9226,SC,IIB,476.0,394.0,328.0,387,585.0,488.0,410.0,480,64,37,40,25,1
2293,MI,IIB,510.0,446.0,357.0,422,661.0,596.0,473.0,557,32,35,38,7,1
1448,DC,I,656.0,483.0,403.0,481,780.0,591.0,494.0,587,241,282,189,111,0
2038,ME,IIB,738.0,527.0,418.0,554,918.0,651.0,503.0,682,41,40,35,4,1
2722,NY,I,744.0,573.0,444.0,590,945.0,729.0,557.0,748,166,183,140,9,0
3123,OH,I,577.0,448.0,387.0,479,718.0,567.0,497.0,603,278,253,147,39,0
3798,WA,I,683.0,485.0,421.0,555,838.0,606.0,524.0,687,893,472,352,11,0
2590,NH,IIB,494.0,417.0,337.0,426,622.0,532.0,439.0,542,61,46,40,2,1
1854,IA,IIB,516.0,421.0,340.0,436,671.0,541.0,459.0,570,30,21,22,0,1
3895,WI,I,666.0,498.0,439.0,573,831.0,628.0,566.0,721,918,287,360,30,0
3164,OK,IIB,379.0,335.0,282.0,317,467.0,420.0,359.0,399,22,33,42,5,1
3324,PA,IIB,665.0,532.0,428.0,516,839.0,690.0,568.0,670,47,60,58,14,1
2101,MD,IIB,595.0,455.0,377.0,492,721.0,556.0,466.0,600,125,100,67,7,0
3179,OK,IIA,464.0,407.0,348.0,363,558.0,493.0,425.0,440,33,17,61,37,1
3537,TX,IIA,424.0,375.0,339.0,376,555.0,491.0,418.0,494,68,42,36,14,1
1940,KS,IIB,340.0,318.0,278.0,311,415.0,388.0,341.0,380,16,10,10,3,1
2791,NY,IIA,685.0,513.0,436.0,576,851.0,643.0,556.0,720,187,124,77,3,0
2779,NY,IIB,513.0,428.0,343.0,430,634.0,533.0,425.0,532,37,33,35,0,1
3639,TX,IIA,467.0,393.0,348.0,386,589.0,502.0,450.0,494,72,51,41,12,1
3856,WI,IIB,570.0,425.0,364.0,462,691.0,521.0,439.0,561,42,28,31,3,1
3411,RI,IIA,495.0,397.0,327.0,385,620.0,496.0,406.0,481,29,43,37,14,1
2994,ND,IIA,457.0,383.0,331.0,347,563.0,477.0,416.0,436,34,41,68,16,1
3896,WI,I,604.0,465.0,421.0,495,761.0,598.0,544.0,632,267,306,192,2,0
1617,ID,IIB,424.0,338.0,266.0,336,540.0,430.0,338.0,428,16,20,19,1,1
3530,TN,I,600.0,454.0,402.0,501,756.0,570.0,500.0,630,535,325,202,65,0
3109,OH,IIB,541.0,395.0,354.0,453,726.0,584.0,500.0,626,67,25,42,2,1
2894,NY,I,747.0,520.0,434.0,611,895.0,626.0,520.0,733,252,130,110,7,0
3385,PA,IIB,528.0,419.0,354.0,434,686.0,547.0,458.0,563,32,28,29,2,1
3720,VA,IIA,465.0,392.0,317.0,395,567.0,484.0,396.0,486,49,36,37,3,1
2105,MD,I,638.0,455.0,395.0,464,783.0,571.0,491.0,577,87,119,104,32,0
3765,VA,IIA,492.0,429.0,355.0,406,618.0,545.0,456.0,516,83,88,92,30,0
9930,TX,IIB,457.0,393.0,348.0,384,576.0,501.0,449.0,491,21,18,26,6,1
3724,VA,IIA,524.0,418.0,369.0,448,616.0,493.0,434.0,528,48,30,34,0,1
1847,IA,IIB,484.0,416.0,339.0,382,606.0,522.0,440.0,486,20,12,30,10,1
1085,AR,IIB,453.0,363.0,330.0,349,561.0,448.0,402.0,428,23,24,48,22,1
1599,GA,IIA,477.0,386.0,344.0,390,603.0,496.0,445.0,500,88,90,114,19,0
1443,DC,IIA,623.0,480.0,399.0,482,814.0,638.0,534.0,637,86,67,70,35,0
2140,MA,IIB,431.0,353.0,305.0,342,524.0,429.0,371.0,415,10,18,19,5,1
2077,MD,I,798.0,542.0,435.0,593,972.0,677.0,551.0,734,330,110,160,52,0
1341,CA,IIB,489.0,408.0,339.0,415,616.0,524.0,429.0,526,30,19,22,3,1
3911,WI,IIB,448.0,366.0,316.0,344,553.0,441.0,395.0,423,10,23,28,10,1
1428,DE,IIA,545.0,435.0,359.0,379,716.0,583.0,491.0,515,29,47,61,34,1
1834,IN,IIB,324.0,264.0,235.0,265,426.0,350.0,316.0,353,6,6,9,2,1
2523,MO,IIB,451.0,390.0,298.0,381,549.0,481.0,361.0,465,17,17,12,4,1
1977,KY,IIA,462.0,396.0,342.0,383,601.0,520.0,451.0,503,95,101,101,7,0
1844,IN,IIB,612.0,474.0,371.0,501,770.0,602.0,482.0,637,31,22,20,1,1
3830,WV,IIB,441.0,383.0,339.0,383,572.0,494.0,434.0,495,25,22,24,3,1
3713,VA,IIB,529.0,397.0,338.0,417,631.0,481.0,419.0,502,28,28,13,0,1
3954,FL,IIA,560.0,420.0,369.0,435,698.0,527.0,465.0,545,176,207,162,42,0
